ACT Symbol,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
CI,The Cigna Group Common Stock,N,CI,N,100,N,CI
CIA,"Citizens, Inc. Class A Common Stock ($1.00 Par)",N,CIA,N,100,N,CIA
CIB,BanColombia S.A. Common Stock,N,CIB,N,100,N,CIB
CIEN,Ciena Corporation Common Stock,N,CIEN,N,100,N,CIEN
CIF,MFS Intermediate High Income Fund Common Stock,N,CIF,N,100,N,CIF
CIG,Comp En De Mn Cemig ADS American Depositary Shares,N,CIG,N,100,N,CIG
CIG.C,Comp En De Mn Cemig ADS American Depositary Receipts,N,CIG.C,N,100,N,CIG.C
CII,"Blackrock Capital and Income Fund, Inc.",N,CII,N,100,N,CII
CIM,Chimera Investment Corporation Common Stock,N,CIM,N,100,N,CIM
CIM$A,Chimera Investment Corporation 8.00% Series A Cumulative Redeemable Preferred Stock,N,CIMpA,N,100,N,CIM-A
CIM$B,Chimera Investment Corporation 8.00% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,N,CIMpB,N,100,N,CIM-B
CIM$C,Chimera Investment Corporation 7.75% Series C Fixed-to-Floating Rate  Cumulative Redeemable  Preferred Stock,N,CIMpC,N,100,N,CIM-C
CIM$D,Chimera Investment Corporation 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,N,CIMpD,N,100,N,CIM-D
CIMN,Chimera Investment Corporation 9.000% Senior Notes due 2029,N,CIMN,N,100,N,CIMN
CIMO,Chimera Investment Corporation 9.250% Senior Notes due 2029,N,CIMO,N,100,N,CIMO
CINT,CI&T Inc Class A Common Shares,N,CINT,N,100,N,CINT
CIO,"City Office REIT, Inc. Common Stock",N,CIO,N,100,N,CIO
CIO$A,"City Office REIT, Inc. 6.625% Series A Cumulative Redeemable Preferred Stock",N,CIOpA,N,100,N,CIO-A
CION,CION Investment Corporation Common Stock,N,CION,N,100,N,CION
CIVI,"Civitas Resources, Inc. Common Stock",N,CIVI,N,100,N,CIVI
CL,Colgate-Palmolive Company Common Stock,N,CL,N,100,N,CL
CLB,Core Laboratories Inc. Common Stock,N,CLB,N,100,N,CLB
CLBR,Colombier Acquisition Corp. II Class A Ordinary Shares,N,CLBR,N,100,N,CLBR
CLBR.U,"Colombier Acquisition Corp. II Units, each consisting of one Class A ordinary share and one-third of one redeemable warrant",N,CLBR.U,N,100,N,CLBR=
CLBR.W,"Colombier Acquisition Corp. II Warrants, each whole warrant exercisable for one Class A Ordinary Share at an exercise price of $11.50 per share",N,CLBR.WS,N,100,N,CLBR+
CLCO,Cool Company Ltd. Common Shares,N,CLCO,N,100,N,CLCO
CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,N,CLDT,N,100,N,CLDT
CLDT$A,Chatham Lodging Trust (REIT) 6.625% Series A Cumulative Redeemable Preferred Shares of Beneficial Interest,N,CLDTpA,N,100,N,CLDT-A
CLF,Cleveland-Cliffs Inc. Common Stock,N,CLF,N,100,N,CLF
CLH,"Clean Harbors, Inc. Common Stock",N,CLH,N,100,N,CLH
CLPR,Clipper Realty Inc. Common Stock,N,CLPR,N,100,N,CLPR
CLS,"Celestica, Inc. Common Stock",N,CLS,N,100,N,CLS
CLVT,Clarivate Plc Ordinary Shares,N,CLVT,N,100,N,CLVT
CLW,Clearwater Paper Corporation Common Stock,N,CLW,N,100,N,CLW
CLX,Clorox Company (The) Common Stock,N,CLX,N,100,N,CLX
CM,Canadian Imperial Bank of Commerce Common Stock,N,CM,N,100,N,CM
CMA,Comerica Incorporated Common Stock,N,CMA,N,100,N,CMA
CMBT,Euronav NV Ordinary Shares,N,CMBT,N,100,N,CMBT
CMC,Commercial Metals Company Common Stock,N,CMC,N,100,N,CMC
CMCM,"Cheetah Mobile Inc. American Depositary Shares, each representing fifty (50) Class A Ordinary Shares",N,CMCM,N,100,N,CMCM
CMG,"Chipotle Mexican Grill, Inc. Common Stock",N,CMG,N,100,N,CMG
CMI,Cummins Inc. Common Stock,N,CMI,N,100,N,CMI
CMP,Compass Minerals Intl Inc Common Stock,N,CMP,N,100,N,CMP
CMRE,Costamare Inc. Common Stock $0.0001 par value,N,CMRE,N,100,N,CMRE
CMRE$B,Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands),N,CMREpB,N,100,N,CMRE-B
CMRE$C,Costamare Inc. Perpetual Preferred Series C (Marshall Islands),N,CMREpC,N,100,N,CMRE-C
CMRE$D,Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock,N,CMREpD,N,100,N,CMRE-D
CMS,CMS Energy Corporation Common Stock,N,CMS,N,100,N,CMS
CMS$B,CMS Energy Corporation Preferred Stock,N,CMSpB,N,10,N,CMS-B
CMS$C,"CMS Energy Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 4.200% Cumulative Redeemable Perpetual Preferred Stock, Series C",N,CMSpC,N,100,N,CMS-C
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,N,CMSA,N,100,N,CMSA
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,N,CMSC,N,100,N,CMSC
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,N,CMSD,N,100,N,CMSD
CMTG,"Claros Mortgage Trust, Inc. Common Stock",N,CMTG,N,100,N,CMTG
CMU,MFS Municipal Income Trust Common Stock,N,CMU,N,100,N,CMU
CNA,CNA Financial Corporation Common Stock,N,CNA,N,100,N,CNA
CNC,Centene Corporation Common Stock,N,CNC,N,100,N,CNC
CNF,"CNFinance Holdings Limited American Depositary Shares, each representing  twenty (20) Ordinary Shares",N,CNF,N,100,N,CNF
CNH,CNH Industrial N.V. Common Shares,N,CNH,N,100,N,CNH
CNI,Canadian National Railway Company Common Stock,N,CNI,N,100,N,CNI
CNK,"Cinemark Holdings Inc Cinemark Holdings, Inc. Common Stock",N,CNK,N,100,N,CNK
CNM,"Core & Main, Inc. Class A Common Stock",N,CNM,N,100,N,CNM
CNMD,CONMED Corporation Common Stock,N,CNMD,N,100,N,CNMD
CNNE,"Cannae Holdings, Inc. Common Stock",N,CNNE,N,100,N,CNNE
CNO,"CNO Financial Group, Inc. Common Stock",N,CNO,N,100,N,CNO
CNO$A,"CNO Financial Group, Inc. 5.125% Subordinated Debentures due 2060",N,CNOpA,N,100,N,CNO-A
CNP,"CenterPoint Energy, Inc (Holding Co) Common Stock",N,CNP,N,100,N,CNP
CNQ,Canadian Natural Resources Limited Common Stock,N,CNQ,N,100,N,CNQ
CNS,Cohen & Steers Inc Common Stock,N,CNS,N,100,N,CNS
CNX,CNX Resources Corporation Common Stock,N,CNX,N,100,N,CNX
CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest,N,CODI,N,100,N,CODI
CODI$A,Compass Diversified Holdings 7.250% Series A Preferred Shares representing beneficial interest in Compass Diversified Holdings,N,CODIpA,N,100,N,CODI-A
CODI$B,Compass Diversified Holdings 7.875% Series B Fixed-to-Floating Rate Cumulative Preferred Shares representing beneficial interests in Compass Diversified Holdings,N,CODIpB,N,100,N,CODI-B
CODI$C,Compass Diversified Holdings 7.875% Series C Cumulative Preferred Shares,N,CODIpC,N,100,N,CODI-C
COF,Capital One Financial Corporation Common Stock,N,COF,N,100,N,COF
COF$I,"Capital One Financial Corporation Depositary shares each representing a 1/40th interest in a share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series I of the Issuer",N,COFpI,N,100,N,COF-I
COF$J,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non- Cumulative Perpetual Preferred Stock, Series J",N,COFpJ,N,100,N,COF-J
COF$K,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series K",N,COFpK,N,100,N,COF-K
COF$L,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series L",N,COFpL,N,100,N,COF-L
COF$N,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series N",N,COFpN,N,100,N,COF-N
COHR,Coherent Corp. Common Stock,N,COHR,N,100,N,COHR
COLD,"Americold Realty Trust, Inc. Common Stock",N,COLD,N,100,N,COLD
COMP,"Compass, Inc. Class A Common Stock",N,COMP,N,100,N,COMP
CON,"Concentra Group Holdings Parent, Inc. Common Stock",N,CON,N,100,N,CON
COOK,"Traeger, Inc. Common Stock",N,COOK,N,100,N,COOK
COP,ConocoPhillips Common Stock,N,COP,N,100,N,COP
COR,"Cencora, Inc. Common Stock",N,COR,N,100,N,COR
COTY,Coty Inc. Class A Common Stock,N,COTY,N,100,N,COTY
COUR,"Coursera, Inc. Common Stock",N,COUR,N,100,N,COUR
CP,Canadian Pacific Kansas City Limited Common Shares,N,CP,N,100,N,CP
CPA,"Copa Holdings, S.A. Class A Common Stock",N,CPA,N,100,N,CPA
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),N,CPAC,N,100,N,CPAC
CPAY,"Corpay, Inc. Common Stock",N,CPAY,N,100,N,CPAY
CPF,Central Pacific Financial Corp New,N,CPF,N,100,N,CPF
CPK,Chesapeake Utilities Corporation Common Stock,N,CPK,N,100,N,CPK
CPNG,"Coupang, Inc. Class A Common Stock",N,CPNG,N,100,N,CPNG
CPRI,Capri Holdings Limited Ordinary Shares,N,CPRI,N,100,N,CPRI
CPS,Cooper-Standard Holdings Inc. Common Stock,N,CPS,N,100,N,CPS
CPT,Camden Property Trust Common Stock,N,CPT,N,100,N,CPT
CQP,"Cheniere Energy Partners, LP Common Units",N,CQP,N,100,N,CQP
CR,Crane Company Common Stock,N,CR,N,100,N,CR
CRBG,Corebridge Financial Inc. Common Stock,N,CRBG,N,100,N,CRBG
CRC,California Resources Corporation Common Stock,N,CRC,N,100,N,CRC
CRD.A,Crawford & Company Common Stock,N,CRD.A,N,100,N,CRD.A
CRD.B,Crawford & Company Common Stock,N,CRD.B,N,100,N,CRD.B
CRGY,Crescent Energy Company Class A Common Stock,N,CRGY,N,100,N,CRGY
CRH,CRH PLC Ordinary Shares,N,CRH,N,100,N,CRH
CRI,"Carter's, Inc. Common Stock",N,CRI,N,100,N,CRI
CRK,"Comstock Resources, Inc. Common Stock",N,CRK,N,100,N,CRK
CRL,"Charles River Laboratories International, Inc. Common Stock",N,CRL,N,100,N,CRL
CRM,"Salesforce, Inc. Common Stock",N,CRM,N,100,N,CRM
CRS,Carpenter Technology Corporation Common Stock,N,CRS,N,100,N,CRS
CRT,Cross Timbers Royalty Trust Common Stock,N,CRT,N,100,N,CRT
CSAN,Cosan S.A. ADS,N,CSAN,N,100,N,CSAN
CSL,Carlisle Companies Incorporated Common Stock,N,CSL,N,100,N,CSL
CSR,D/B/A Centerspace Common Stock,N,CSR,N,100,N,CSR
CSR$C,D/B/A Centerspace 6.625% Series C ,N,CSRpC,N,100,N,CSR-C
CSTM,Constellium SE Ordinary Shares (France),N,CSTM,N,100,N,CSTM
CSV,"Carriage Services, Inc. Common Stock",N,CSV,N,100,N,CSV
CTA$A,"EIDP, Inc. Preferred Stock $3.50 Series",N,CTApA,N,100,N,CTA-A
CTA$B,"EIDP, Inc. Preferred Stock $4.50 Series",N,CTApB,N,100,N,CTA-B
CTBB,Qwest Corporation 6.5% Notes due 2056,N,CTBB,N,100,N,CTBB
CTDD,Qwest Corporation 6.75% Notes due 2057,N,CTDD,N,100,N,CTDD
CTEST,NYSE Test One Common Stock,N,CTEST,N,100,Y,CTEST
CTEST.E,NYSE Test One Common Stock,N,CTEST.E,N,100,Y,CTEST.E
CTEST.G,NYSE Test One Common Stock,N,CTEST.G,N,100,Y,CTEST.G
CTEST.L,NYSE Test One Common Stock,N,CTEST.L,N,100,Y,CTEST.L
CTEST.O,NYSE Test One Common Stock,N,CTEST.O,N,100,Y,CTEST.O
CTEST.S,NYSE Test Six Common Stock,N,CTEST.S,N,100,Y,CTEST.S
CTEST.V,NYSE Test One Common Stock,N,CTEST.V,N,100,Y,CTEST.V
CTLT,"Catalent, Inc. Common Stock",N,CTLT,N,100,N,CTLT
CTO,"CTO Realty Growth, Inc. Common Stock",N,CTO,N,100,N,CTO
CTO$A,"CTO Realty Growth, Inc. 6.375% Series A Cumulative Redeemable Preferred Stock",N,CTOpA,N,100,N,CTO-A
CTOS,"Custom Truck One Source, Inc. Common Stock",N,CTOS,N,100,N,CTOS
CTRA,Coterra Energy Inc. Common Stock,N,CTRA,N,100,N,CTRA
CTRE,"CareTrust REIT, Inc. Common Stock",N,CTRE,N,100,N,CTRE
CTRI,"Centuri Holdings, Inc. Common Stock",N,CTRI,N,100,N,CTRI
CTS,CTS Corporation Common Stock,N,CTS,N,100,N,CTS
CTV,Innovid Corp. Common Stock,N,CTV,N,100,N,CTV
CTV.W,"Innovid Corp. Warrants, each whole warrant exercisable for one share of Common Stock at an exercise price of $11.50 per share",N,CTV.WS,N,100,N,CTV+
CTVA,"Corteva, Inc. Common Stock ",N,CTVA,N,100,N,CTVA
CUBB,"Customers Bancorp, Inc 5.375% Subordinated Notes Due 2034",N,CUBB,N,100,N,CUBB
CUBE,CubeSmart Common Shares,N,CUBE,N,100,N,CUBE
CUBI,"Customers Bancorp, Inc Common Stock",N,CUBI,N,100,N,CUBI
CUBI$E,"Customers Bancorp, Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series E",N,CUBIpE,N,100,N,CUBI-E
CUBI$F,"Customers Bancorp, Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series F",N,CUBIpF,N,100,N,CUBI-F
CUK,Carnival Plc ADS ADS,N,CUK,N,100,N,CUK
CULP,"Culp, Inc. Common Stock",N,CULP,N,100,N,CULP
CURV,Torrid Holdings Inc. Common Stock,N,CURV,N,100,N,CURV
CUZ,Cousins Properties Incorporated Common Stock,N,CUZ,N,100,N,CUZ
CVE,Cenovus Energy Inc Common Stock,N,CVE,N,100,N,CVE
CVE.W,Cenovus Energy Inc Warrants (each warrant entitles the holder to purchase one common share at an exercise price of C$6.54 per share),N,CVE.WS,N,100,N,CVE+
CVEO,Civeo Corporation (Canada) Common Shares,N,CVEO,N,100,N,CVEO
CVI,CVR Energy Inc. Common Stock,N,CVI,N,100,N,CVI
CVLG,"Covenant Logistics Group, Inc. Class A Common Stock",N,CVLG,N,100,N,CVLG
CVNA,Carvana Co. Class A Common Stock,N,CVNA,N,100,N,CVNA
CVS,CVS Health Corporation Common Stock,N,CVS,N,100,N,CVS
CVX,Chevron Corporation Common Stock,N,CVX,N,100,N,CVX
CW,Curtiss-Wright Corporation Common Stock,N,CW,N,100,N,CW
CWAN,"Clearwater Analytics Holdings, Inc. Class A Common Stock",N,CWAN,N,100,N,CWAN
CWEN,"Clearway Energy, Inc. Class C Common Stock",N,CWEN,N,100,N,CWEN
CWEN.A,"Clearway Energy, Inc. Class A Common Stock",N,CWEN.A,N,100,N,CWEN.A
CWH,"Camping World Holdings, Inc. Class A Common Stock",N,CWH,N,100,N,CWH
CWK,Cushman & Wakefield plc Ordinary Shares,N,CWK,N,100,N,CWK
CWT,California Water Service Group Common Stock,N,CWT,N,100,N,CWT
CX,"Cemex, S.A.B. de C.V. Sponsored ADR",N,CX,N,100,N,CX
CXE,MFS High Income Municipal Trust Common Stock,N,CXE,N,100,N,CXE
CXH,MFS Investment Grade Municipal Trust Common Stock,N,CXH,N,100,N,CXH
CXM,"Sprinklr, Inc. Class A Common Stock",N,CXM,N,100,N,CXM
CXT,"Crane NXT, Co. Common Stock",N,CXT,N,100,N,CXT
CXW,"CoreCivic, Inc. Common Stock",N,CXW,N,100,N,CXW
CYD,China Yuchai International Limited Common Stock,N,CYD,N,100,N,CYD
CYH,"Community Health Systems, Inc. Common Stock",N,CYH,N,100,N,CYH
D,"Dominion Energy, Inc. Common Stock",N,D,N,100,N,D
DAC,Danaos Corporation Common Stock,N,DAC,N,100,N,DAC
DAL,"Delta Air Lines, Inc. Common Stock",N,DAL,N,100,N,DAL
DAN,Dana Incorporated Common Stock ,N,DAN,N,100,N,DAN
DAO,"Youdao, Inc. American Depositary Shares, each representing one Class A Ordinary Share",N,DAO,N,100,N,DAO
DAR,Darling Ingredients Inc. Common Stock,N,DAR,N,100,N,DAR
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),N,DAVA,N,100,N,DAVA
DAY,"Dayforce, Inc. Common Stock",N,DAY,N,100,N,DAY
DB,Deutsche Bank AG Common Stock,N,DB,N,100,N,DB
DBD,Diebold Nixdorf Incorporated Common stock,N,DBD,N,100,N,DBD
DBI,Designer Brands Inc. Class A Common Stock,N,DBI,N,100,N,DBI
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,N,DBL,N,100,N,DBL
DBRG,"DigitalBridge Group, Inc.",N,DBRG,N,100,N,DBRG
DBRG$H,"DigitalBridge Group, Inc. 7.125% Series H ",N,DBRGpH,N,100,N,DBRG-H
DBRG$I,"DigitalBridge Group, Inc. 7.15% Series I ",N,DBRGpI,N,100,N,DBRG-I
DBRG$J,"DigitalBridge Group, Inc. 7.125% Series J ",N,DBRGpJ,N,100,N,DBRG-J
DCF,"BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund, Inc. Common Stock",N,DCF,N,100,N,DCF
DCI,"Donaldson Company, Inc. Common Stock",N,DCI,N,100,N,DCI
DCO,Ducommun Incorporated Common Stock,N,DCO,N,100,N,DCO
DD,"DuPont de Nemours, Inc. Common Stock",N,DD,N,100,N,DD
DDD,3D Systems Corporation Common Stock,N,DDD,N,100,N,DDD
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),N,DDL,N,100,N,DDL
DDS,"Dillard's, Inc. Common Stock",N,DDS,N,100,N,DDS
DDT,Dillard's Capital Trust I,N,DDT,N,100,N,DDT
DE,Deere & Company Common Stock,N,DE,N,100,N,DE
DEA,"Easterly Government Properties, Inc. Common Stock",N,DEA,N,100,N,DEA
DEC,Diversified Energy Company plc Ordinary Shares,N,DEC,N,100,N,DEC
DECK,Deckers Outdoor Corporation Common Stock,N,DECK,N,100,N,DECK
DEI,"Douglas Emmett, Inc. Common Stock",N,DEI,N,100,N,DEI
DELL,Dell Technologies Inc. Class C Common Stock ,N,DELL,N,100,N,DELL
DEO,Diageo plc Common Stock,N,DEO,N,100,N,DEO
DESP,"Despegar.com, Corp. Ordinary Shares",N,DESP,N,100,N,DESP
DFH,"Dream Finders Homes, Inc. Class A Common Stock",N,DFH,N,100,N,DFH
DFIN,"Donnelley Financial Solutions, Inc. Common Stock ",N,DFIN,N,100,N,DFIN
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,N,DFP,N,100,N,DFP
DFS,Discover Financial Services Common Stock,N,DFS,N,100,N,DFS
DG,Dollar General Corporation Common Stock,N,DG,N,100,N,DG
DGX,Quest Diagnostics Incorporated Common Stock,N,DGX,N,100,N,DGX
DHF,BNY Mellon High Yield Strategies Fund Common Stock,N,DHF,N,100,N,DHF
DHI,"D.R. Horton, Inc. Common Stock",N,DHI,N,100,N,DHI
DHR,Danaher Corporation Common Stock,N,DHR,N,100,N,DHR
DHT,"DHT Holdings, Inc.",N,DHT,N,100,N,DHT
DHX,"DHI Group, Inc. Common Stock",N,DHX,N,100,N,DHX
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,N,DIAX,N,100,N,DIAX
DIN,"Dine Brands Global, Inc. Common Stock",N,DIN,N,100,N,DIN
DINO,HF Sinclair Corporation Common Stock,N,DINO,N,100,N,DINO
DIS,Walt Disney Company (The) Common Stock,N,DIS,N,100,N,DIS
DIVY,Sound Equity Dividend Income ETF,N,DIVY,Y,100,N,DIVY
DK,"Delek US Holdings, Inc. Common Stock",N,DK,N,100,N,DK
DKL,"Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests",N,DKL,N,100,N,DKL
DKS,Dick's Sporting Goods Inc Common Stock,N,DKS,N,100,N,DKS
DLB,Dolby Laboratories Common Stock,N,DLB,N,100,N,DLB
DLNG,Dynagas LNG Partners LP Common Units,N,DLNG,N,100,N,DLNG
DLNG$A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,N,DLNGpA,N,100,N,DLNG-A
DLNG$B,"Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units, liquidation preference $25.00 per Uni",N,DLNGpB,N,100,N,DLNG-B
DLR,"Digital Realty Trust, Inc. Common Stock",N,DLR,N,100,N,DLR
DLR$J,"Digital Realty Trust, Inc. 5.250% Series J Cumulative Redeemable Preferred Stock",N,DLRpJ,N,100,N,DLR-J
DLR$K,"Digital Realty Trust, Inc. 5.850% Series K Cumulative Redeemable Preferred Stock, par value $0.01 per share",N,DLRpK,N,100,N,DLR-K
DLR$L,"Digital Realty Trust, Inc. 5.200% Series L Cumulative Redeemable Preferred Stock",N,DLRpL,N,100,N,DLR-L
DLX,Deluxe Corporation Common Stock,N,DLX,N,100,N,DLX
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,N,DLY,N,100,N,DLY
DM,"Desktop Metal, Inc. Class A Common Stock",N,DM,N,100,N,DM
DMA,Destra Multi-Alternative Fund Common Stock,N,DMA,N,100,N,DMA
DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. Common Stock",N,DMB,N,100,N,DMB
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,N,DMO,N,100,N,DMO
DNA,"Ginkgo Bioworks Holdings, Inc. Class A Common Stock",N,DNA,N,100,N,DNA
DNB,"Dun & Bradstreet Holdings, Inc. Common Stock",N,DNB,N,100,N,DNB
DNMR,"Danimer Scientific, Inc. Common Stock",N,DNMR,N,100,N,DNMR
DNOW,DNOW Inc. Common Stock,N,DNOW,N,100,N,DNOW
DNP,"DNP Select Income Fund, Inc. Common Stock",N,DNP,N,100,N,DNP
DOC,"Healthpeak Properties, Inc. Common Stock",N,DOC,N,100,N,DOC
DOCN,"DigitalOcean Holdings, Inc. Common Stock",N,DOCN,N,100,N,DOCN
DOCS,"Doximity, Inc. Class A Common Stock",N,DOCS,N,100,N,DOCS
DOLE,Dole plc Ordinary Shares,N,DOLE,N,100,N,DOLE
DOMA,"Doma Holdings, Inc. Common Stock",N,DOMA,N,100,N,DOMA
DOUG,Douglas Elliman Inc. Common Stock,N,DOUG,N,100,N,DOUG
DOV,Dover Corporation Common Stock,N,DOV,N,100,N,DOV
DOW,Dow Inc. Common Stock ,N,DOW,N,100,N,DOW
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,N,DPG,N,100,N,DPG
DPZ,Domino's Pizza Inc Common Stock,N,DPZ,N,100,N,DPZ
DQ,"DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares",N,DQ,N,100,N,DQ
DRD,DRDGOLD Limited American Depositary Shares,N,DRD,N,100,N,DRD
DRH,Diamondrock Hospitality Company Common Stock,N,DRH,N,100,N,DRH
DRH$A,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock,N,DRHpA,N,100,N,DRH-A
DRI,"Darden Restaurants, Inc. Common Stock",N,DRI,N,100,N,DRI
DRLL,EA Series Trust Strive U.S. Energy ETF,N,DRLL,Y,100,N,DRLL
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,N,DSL,N,100,N,DSL
DSM,"BNY Mellon Strategic Municipal Bond Fund, Inc. Common Stock",N,DSM,N,100,N,DSM
DSMC,ETF Series Solutions Distillate Small/Mid Cash Flow ETF,N,DSMC,Y,100,N,DSMC
DSTX,Distillate International Fundamental Stability & Value ETF,N,DSTX,Y,100,N,DSTX
DSU,"Blackrock Debt Strategies Fund, Inc. Common Stock",N,DSU,N,100,N,DSU
DSX,Diana Shipping inc. common stock,N,DSX,N,100,N,DSX
DSX$B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),N,DSXpB,N,100,N,DSX-B
DSX.W,Diana Shipping inc. Warrants,N,DSX.WS,N,100,N,DSX+
DT,"Dynatrace, Inc. Common Stock",N,DT,N,100,N,DT
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,N,DTB,N,100,N,DTB
DTC,"Solo Brands, Inc. Class A Common Stock",N,DTC,N,100,N,DTC
DTE,DTE Energy Company Common Stock,N,DTE,N,100,N,DTE
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,N,DTF,N,100,N,DTF
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,N,DTG,N,100,N,DTG
DTM,"DT Midstream, Inc. Common Stock ",N,DTM,N,100,N,DTM
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,N,DTW,N,100,N,DTW
DUK,Duke Energy Corporation (Holding Company) Common Stock,N,DUK,N,100,N,DUK
DUK$A,"Duke Energy Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock",N,DUKpA,N,100,N,DUK-A
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,N,DUKB,N,100,N,DUKB
DV,"DoubleVerify Holdings, Inc. Common Stock",N,DV,N,100,N,DV
DVA,DaVita Inc. Common Stock,N,DVA,N,100,N,DVA
DVN,Devon Energy Corporation Common Stock,N,DVN,N,100,N,DVN
DX,"Dynex Capital, Inc. Common Stock",N,DX,N,100,N,DX
DX$C,"Dynex Capital, Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",N,DXpC,N,100,N,DX-C
DXC,DXC Technology Company Common Stock ,N,DXC,N,100,N,DXC
DXYZ,Destiny Tech100 Inc. Common Stock,N,DXYZ,N,100,N,DXYZ
DY,"Dycom Industries, Inc. Common Stock",N,DY,N,100,N,DY
E,ENI S.p.A. Common Stock,N,E,N,100,N,E
EAF,GrafTech International Ltd. Common Stock,N,EAF,N,100,N,EAF
EAI,"Entergy Arkansas, LLC First Mortgage Bonds, 4.875% Series Due September 1, 2066",N,EAI,N,100,N,EAI
EARN,Ellington Credit Company Common Shares of Beneficial Interest,N,EARN,N,100,N,EARN
EAT,"Brinker International, Inc. Common Stock",N,EAT,N,100,N,EAT
EB,"Eventbrite, Inc. Class A Common Stock",N,EB,N,100,N,EB
EBF,"Ennis, Inc. Common Stock",N,EBF,N,100,N,EBF
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),N,EBR,N,100,N,EBR
EBR.B,Centrais Electricas Brasileiras S.A.- Eletrobr?!s American Depositary Shares (Each representing one Preferred Share),N,EBR.B,N,100,N,EBR.B
EBS,Emergent BioSolutions Inc. Common Stock,N,EBS,N,100,N,EBS
EC,Ecopetrol S.A. American Depositary Shares,N,EC,N,100,N,EC
ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,N,ECAT,N,100,N,ECAT
ECC,Eagle Point Credit Company Inc. Common Stock,N,ECC,N,100,N,ECC
ECC$D,Eagle Point Credit Company Inc. 6.75% Series D Preferred Stock,N,ECCpD,N,100,N,ECC-D
ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,N,ECCC,N,100,N,ECCC
ECCF,Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029,N,ECCF,N,100,N,ECCF
ECCV,Eagle Point Credit Company Inc. 5.375% Notes due 2029,N,ECCV,N,100,N,ECCV
ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031,N,ECCW,N,100,N,ECCW
